fips_code,county,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,2008_dem_ratio,2012_dem_ratio,2016_dem_ratio,2008_gop_ratio,2012_gop_ratio,2016_gop_ratio,2008_oth_ratio,2012_oth_ratio,2016_oth_ratio,2008_result,2012_result,2016_result
26041,Delta County,19064,9974,8763,327,18043,8330,9533,180,18467,6431,11112,924,0.523185060847671,0.4616748877681095,0.34824281150159747,0.4596621905161561,0.5283489441888821,0.6017219905777874,0.01715274863617289,0.009976168043008368,0.05003519792061515,dem,gop,gop
48295,Lipscomb County,1256,155,1093,8,1168,119,1044,5,1322,135,1159,28,0.12340764331210191,0.10188356164383562,0.1021180030257186,0.8702229299363057,0.8938356164383562,0.8767019667170953,0.006369426751592357,0.004280821917808219,0.02118003025718608,gop,gop,gop
01127,Walker County,28652,7420,20722,510,28497,6551,21633,313,29243,4486,24208,549,0.2589697054306855,0.2298838474225357,0.15340423349177582,0.7232304900181489,0.7591325402673965,0.8278220428820573,0.017799804551165713,0.010983612310067727,0.018773723626166947,gop,gop,gop
48389,Reeves County,3077,1606,1445,26,2867,1649,1185,33,3184,1659,1417,108,0.5219369515762106,0.5751656784094873,0.5210427135678392,0.4696132596685083,0.4133240320892919,0.44503768844221103,0.008449788755281119,0.011510289501220789,0.03391959798994975,dem,dem,dem
56017,Hot Springs County,2546,619,1834,93,2495,523,1894,78,2535,400,1939,196,0.24312647289866457,0.2096192384769539,0.15779092702169625,0.7203456402199528,0.7591182364729459,0.7648915187376726,0.03652788688138256,0.0312625250501002,0.07731755424063116,gop,gop,gop
20043,Doniphan County,3564,1115,2372,77,3369,885,2397,87,3366,584,2601,181,0.3128507295173962,0.26268922528940336,0.17349970291146763,0.6655443322109988,0.711487088156723,0.7727272727272727,0.021604938271604937,0.025823686553873553,0.05377302436125966,gop,gop,gop
37183,Wake County,442245,250891,187001,4353,526805,286939,232933,6933,510940,298353,193607,18980,0.5673122364300331,0.544677821964484,0.5839296199162328,0.4228448032199347,0.4421617106899137,0.3789231612322386,0.009842960350032222,0.013160467345602262,0.03714721885152856,dem,dem,dem
37147,Pitt County,74884,40501,33927,456,76814,40701,35534,579,78264,40967,35191,2106,0.5408498477645425,0.5298643476449606,0.5234462843708474,0.45306073393515306,0.46259796391282837,0.44964479198609836,0.006089418300304471,0.007537688442211055,0.026908923643054278,dem,dem,dem
48497,Wise County,20639,4471,15973,195,20692,3219,17178,295,24661,3412,20655,594,0.21662871263142594,0.15556736903150975,0.13835610883581365,0.7739231551916275,0.8301759133964818,0.8375572766716678,0.009448132176946558,0.014256717572008505,0.024086614492518553,gop,gop,gop
21207,Russell County,7475,1569,5779,127,7907,1445,6346,116,8171,1093,6863,215,0.20989966555183948,0.1827494625015809,0.13376575694529433,0.7731103678929766,0.802579992411787,0.8399216742136826,0.016989966555183946,0.014670545086632097,0.02631256884102313,gop,gop,gop
